,PktGroupId,PktNumber,Appearance,Direction,Type,Component,Edge,Filter,OriginalSize,LoggedSize
85,281474976710658,1,2,Tx,Ethernet,28,1,0,54,54
86,281474976710658,1,3,Tx,WiFi,28,2,0,54,54
87,281474976710658,1,4,Tx,Ethernet,29,1,0,54,54
88,281474976710658,1,5,Tx,WiFi,29,2,0,72,72
89,281474976710658,1,6,Tx,WiFi,30,1,0,72,72
90,281474976710658,1,7,Tx,WiFi,30,2,0,72,72
91,281474976710658,1,8,Tx,WiFi,31,1,0,72,72
92,281474976710658,1,9,Tx,WiFi,31,2,0,72,72
93,281474976710658,1,10,Tx,WiFi,3,1,0,72,72
94,562949953421314,1,1,Rx,WiFi,3,1,0,98,98
95,562949953421315,1,1,Rx,WiFi,3,1,0,74,74
96,562949953421314,1,2,Rx,WiFi,31,2,0,98,98
97,562949953421315,1,2,Rx,WiFi,31,2,0,74,74
98,562949953421314,1,3,Rx,WiFi,31,1,0,98,98
99,562949953421315,1,3,Rx,WiFi,31,1,0,74,74
100,562949953421314,1,4,Rx,WiFi,30,2,0,98,98
101,562949953421315,1,4,Rx,WiFi,30,2,0,74,74
102,562949953421314,1,5,Rx,WiFi,30,1,0,98,98
103,562949953421315,1,5,Rx,WiFi,30,1,0,74,74
104,562949953421314,1,6,Rx,WiFi,29,2,0,98,98
105,562949953421315,1,6,Rx,WiFi,29,2,0,74,74
106,562949953421314,1,7,Rx,Ethernet,29,1,0,78,78
107,562949953421315,1,7,Rx,Ethernet,29,1,0,54,54
108,562949953421314,1,8,Rx,WiFi,28,2,0,78,78
109,562949953421315,1,8,Rx,WiFi,28,2,0,54,54
110,562949953421314,1,9,Rx,Ethernet,28,1,0,78,78
111,562949953421315,1,9,Rx,Ethernet,28,1,0,54,54
112,562949953421314,1,10,Rx,Ethernet,77,1,0,78,78
113,562949953421315,1,10,Rx,Ethernet,77,1,0,54,54
114,562949953421314,1,11,Rx,Ethernet,78,1,0,78,78
115,562949953421315,1,11,Rx,Ethernet,78,1,0,54,54
116,562949953421314,1,12,Rx,Ethernet,81,1,0,78,78
117,562949953421315,1,12,Rx,Ethernet,81,1,0,54,54
118,562949953421316,1,1,Tx,Ethernet,81,1,0,54,54
119,562949953421316,1,2,Tx,Ethernet,28,1,0,54,54
120,562949953421316,1,3,Tx,WiFi,28,2,0,54,54
121,562949953421316,1,4,Tx,Ethernet,29,1,0,54,54
122,562949953421316,1,5,Tx,WiFi,29,2,0,72,72
123,562949953421316,1,6,Tx,WiFi,30,1,0,72,72
124,562949953421316,1,7,Tx,WiFi,30,2,0,72,72
125,562949953421316,1,8,Tx,WiFi,31,1,0,72,72
126,562949953421316,1,9,Tx,WiFi,31,2,0,72,72
127,562949953421316,1,10,Tx,WiFi,3,1,0,72,72
128,562949953421317,1,1,Rx,WiFi,3,1,0,74,74
129,562949953421317,1,2,Rx,WiFi,31,2,0,74,74
130,562949953421317,1,3,Rx,WiFi,31,1,0,74,74
131,562949953421317,1,4,Rx,WiFi,30,2,0,74,74
132,562949953421317,1,5,Rx,WiFi,30,1,0,74,74
133,562949953421317,1,6,Rx,WiFi,29,2,0,74,74
134,562949953421317,1,7,Rx,Ethernet,29,1,0,54,54
135,562949953421317,1,8,Rx,WiFi,28,2,0,54,54
136,562949953421317,1,9,Rx,Ethernet,28,1,0,54,54
137,562949953421317,1,10,Rx,Ethernet,77,1,0,54,54
138,562949953421317,1,11,Rx,Ethernet,78,1,0,54,54
139,562949953421317,1,12,Rx,Ethernet,81,1,0,54,54
140,562949953421318,1,1,Tx,Ethernet,81,1,0,54,54
141,562949953421318,1,2,Tx,Ethernet,28,1,0,54,54
142,562949953421318,1,3,Tx,WiFi,28,2,0,54,54
143,562949953421318,1,4,Tx,Ethernet,29,1,0,54,54
